Side_Name,Side_VN
ADH inappropriate,Hội chứng tiết ADH không phù hợp
ADVERSE DRUG EFFECT,Tác dụng phụ của thuốc
AFIB,Rung nhĩ
Abdominal hernia,Thoát vị thành bụng
Abnormal Gait,Dáng đi bất thường
Abnormal LFTs,Xét nghiệm chức năng gan bất thường
Abnormal Laboratory Findings,Kết quả xét nghiệm bất thường
Abnormal vision,Thị lực bất thường
Aching joints,Đau khớp
Acidosis,Nhiễm toan
Acne,Mụn trứng cá
Acromegaly,Bệnh to đầu chi
Acute Respiratory Distress Syndrome,Hội chứng suy hô hấp cấp
Acute myeloblastic leukemia,Bạch cầu tủy cấp
Adenopathy,Hạch to
Alcoholic intoxication,Ngộ độc rượu
Altered Bowel Function,Rối loạn chức năng ruột
Amnesia,Mất trí nhớ
Anal fistula,Rò hậu môn
Anemia aplastic,Thiếu máu bất sản
Anisocoria,Đồng tử không đều
Anorexia,Chán ăn
Anxiety,Lo âu
Aphonia,Mất tiếng
Apnea,Ngưng thở
Arachnoiditis,Viêm màng nhện
Arrhythmia,Rối loạn nhịp tim
Arthritis bacterial,Viêm khớp do vi khuẩn
Arthritis infective,Viêm khớp nhiễm trùng
Arthritis rheumatoid,Viêm khớp dạng thấp
Aseptic meningitis,Viêm màng não vô trùng
Aspartate Aminotransferase Increase,Tăng men gan AST
Astrocytoma,U sao bào
Ataxia,Mất điều hòa vận động
Atherosclerosis,Xơ vữa động mạch
Atrioventricular block complete,Block nhĩ thất hoàn toàn
Atrioventricular block first degree,Block nhĩ thất độ I
Back Ache,Đau lưng
Bacteraemia,Nhiễm khuẩn huyết
Bacterial infection,Nhiễm khuẩn
Benign Neoplasm,U lành tính
Bicuspid Aortic Valve,Van động mạch chủ hai lá
Bilirubinaemia,Tăng bilirubin máu
Bladder Neoplasm,U bàng quang
Bladder inflammation,Viêm bàng quang
Bleeding,Chảy máu
Bleeding gums,Chảy máu nướu
Bleeding hemorrhoids,Trĩ chảy máu
Blepharospasm,Co thắt mí mắt
Blood Calcium Increased,Tăng canxi máu
Blood calcium decreased,Giảm canxi máu
Blood disorder,Rối loạn về máu
Bone Fracture Spontaneous,Gãy xương tự phát
Bone marrow fibrosis,Xơ hóa tủy xương
Bradyarrhythmia,Nhịp tim chậm bất thường
Breakthrough bleeding,Chảy máu giữa kỳ
Breast Lump,Khối u vú
Breast abscess,Áp xe vú
Breast cancer,Ung thư vú
Breast cyst,U nang vú
Breast disorder,Rối loạn tuyến vú
Breast swelling,Sưng vú
Bunion,Lệch ngón chân cái
Burns Second Degree,Bỏng độ hai
CMV infection,Nhiễm virus CMV
CYSTO,Nội soi bàng quang
Caesarean Section,Mổ lấy thai
Candida Infection,Nhiễm nấm Candida
Carcinoma of Prostate,Ung thư tuyến tiền liệt
Cardiac decompensation,Suy tim mất bù
Cardiac ischemia,Thiếu máu cơ tim
Cardiac tamponade,Chèn ép tim
Cardiomyopathy,Bệnh cơ tim
Cerebral thrombosis,Huyết khối não
Chest infection,Nhiễm trùng đường hô hấp
Chest wall pain,Đau thành ngực
Cholangitis,Viêm đường mật
Cholangitis sclerosing,Viêm đường mật xơ cứng
Chronic Kidney Disease,Bệnh thận mạn tính
Clotting,Rối loạn đông máu
Cold extremities,Tay chân lạnh
Collagen disease,Bệnh mô liên kết
Colon Spastic,Co thắt đại tràng
Colpitis,Viêm âm đạo
Convulsions Grand Mal,Co giật toàn thể
Cor pulmonale,Tâm phế mạn
Corneal clouding,Đục giác mạc
Corneal dystrophy,Loạn dưỡng giác mạc
Cough,Ho
Cryptosporidiosis,Nhiễm ký sinh trùng Cryptosporidium
Cutaneous mycosis,Nấm da
Cystic Fibrosis,Bệnh xơ nang
Cystitis Interstitial,Viêm bàng quang kẽ
Deafness neurosensory,Điếc thần kinh giác quan
Decreased Libido,Giảm ham muốn tình dục
Decreased hearing,Giảm thính lực
Dermatitis diaper,Viêm da do tã
Detached retina,Bong võng mạc
Diabetes,Đái tháo đường
Diabetic Nephropathy,Bệnh thận do đái tháo đường
Diabetic Retinopathy,Bệnh võng mạc do đái tháo đường
Diabetic neuropathy,Bệnh thần kinh do đái tháo đường
Difficulty breathing,Khó thở
Diphtheria,Bạch hầu
Diplopia,Song thị
Disorder Lung,Rối loạn phổi
Disorder Peripheral Vascular,Rối loạn mạch máu ngoại biên
Disorder Retinal,Rối loạn võng mạc
Drug addiction,Nghiện thuốc
Drug hypersensitivity,Quá mẫn thuốc
Dyspnea exertional,Khó thở khi gắng sức
Dyspnoea paroxysmal nocturnal,Khó thở kịch phát về đêm
EBV infection,Nhiễm virus EBV
Easy bruisability,Dễ bầm tím
Ejaculation Premature,Xuất tinh sớm
Ekbom Syndrome,Hội chứng Ekbom
Electrolyte disorder,Rối loạn điện giải
Embolism pulmonary,Thuyên tắc phổi
Endometrial Atrophy,Teo nội mạc tử cung
Endometrial cancer,Ung thư nội mạc tử cung
Endometrial hyperplasia,Tăng sản nội mạc tử cung
Endometritis,Viêm nội mạc tử cung
Enuresis,Đái dầm
Eosinophil Count Increased,Tăng bạch cầu ái toan
Erythema nodosum,Hồng ban nút
Essential Thrombocythemia,Tăng tiểu cầu tiên phát
Eustachian tube disorder,Rối loạn vòi nhĩ
Excess potassium,Tăng kali máu
Excoriation,Trầy xước da
Extrasystoles Ventricular,Ngoại tâm thu thất
Extremity pain,Đau chi
Fainting,Ngất
Fatigue,Mệt mỏi
Fatty stools,Phân mỡ
Feeling unwell,Khó chịu trong người
Gastric Cancer,Ung thư dạ dày
Gastric ulcer perforated,Thủng loét dạ dày
Gastrointestinal Obstruction,Tắc ruột
Glossitis,Viêm lưỡi
Glucose intolerance,Rối loạn dung nạp glucose
HIV disease,Bệnh HIV/AIDS
HIV positive,Dương tính với HIV
Haemophilia,Bệnh máu khó đông
Hallucination,Ảo giác
Head ache,Đau đầu
Hepatic failure,Suy gan
Hepatitis A,Viêm gan A
Hepatitis C,Viêm gan C
Hernia Inguinal,Thoát vị bẹn
Herpes ophthalmic,Herpes mắt
Herxheimer reaction,Phản ứng Jarisch-Herxheimer
High blood pressure,Tăng huyết áp
Hoarseness,Khàn tiếng
Hypercapnia,Tăng CO2 máu
Hyperprolactinaemia,Tăng prolactin máu
Hypomagnesaemia,Hạ magie máu
Hypophosphataemia,Hạ phosphat máu
Hypotension Orthostatic,Hạ huyết áp tư thế
Hypoventilation,Giảm thông khí
IgA nephropathy,Bệnh thận IgA
Incontinence,Mất kiểm soát tiểu tiện
Infection Upper Respiratory,Nhiễm trùng đường hô hấp trên
Infection Urinary Tract,Nhiễm trùng đường tiết niệu
Infection Viral,Nhiễm virus
Interstitial nephritis,Viêm thận kẽ
Intertrigo,Hăm kẽ da
Intervertebral Disc Herniation,Thoát vị đĩa đệm
Irritation Skin,Kích ứng da
JRA,Viêm khớp dạng thấp thiếu niên
Keloid scar,Sẹo lồi
Lacrimal Disorder,Rối loạn tuyến lệ
Legionella,Nhiễm vi khuẩn Legionella
Leriche syndrome,Hội chứng Leriche
Leukaemia,Bệnh bạch cầu
Lice Infestation,Nhiễm chấy rận
Light sensitivity,Nhạy cảm với ánh sáng
Lyell,Hội chứng Lyell
Lyme Disease,Bệnh Lyme
Lymphatic Disorders,Rối loạn hệ bạch huyết
Lymphocytes decreased,Giảm lympho bào
MPD,Rối loạn tăng sinh tủy
Masculinization,Nam tính hóa
Meningitis Viral,Viêm màng não do virus
Menstrual Disorder,Rối loạn kinh nguyệt
Mod,Không rõ (MOD)
Morphea,Xơ cứng bì khu trú
Multiple Myeloma,Đa u tủy
Mumps,Quai bị
Muscle Rupture,Rách cơ
Mycobacterium tuberculosis infection,Nhiễm vi khuẩn lao
Myringitis,Viêm màng nhĩ
Nail disorder,Rối loạn móng
Near Syncope,Tiền ngất
Nephrogenic diabetes insipidus,Đái tháo nhạt do thận
Nephrolithiasis,Sỏi thận
Neuralgia,Đau dây thần kinh
Neuritis,Viêm dây thần kinh
Neuromuscular Disorder,Rối loạn thần kinh cơ
Neurosis,Rối loạn thần kinh chức năng
